# Number of Traces
   9684
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
  69; 0; 106; 1.07924; 0.62478; 0.11151; 0.158488; 0.943834; 1.46017
  70; 0; 107; 0.778891; 0.441067; 0.344441; 0.681005; 0.791882; 0.715754
  71; 0; 108; 1.00004; 1.26138; 0.665678; 0.440124; 0.228104; 0.60303
  72; 0; 109; 0.761956; 0.337348; 0.290423; 0.503517; 0.491947; 0.715754
  73; 0; 113; 1.03537; 0.926335; 0.381737; 1.08255; 1.17071; 0.500165
  74; 0; 116; 0.926089; 0.365974; 0.11151; 0.709632; 0.680918; 0.601145
  75; 0; 118; 0.418428; 0.348158; 0.715754; 0.204109; -0.623775; 0.277167
  76; 0; 120; 0.85153; 1.08005; 0.715754; 0.242374; -0.428268; 0.371281
  77; 0; 123; 1.09679; 0.949375; 0.323646; 0.686518; 0.801198; 0.715754
  78; 0; 124; 0.822007; 0.190087; 0.11151; 0.39389; -0.0564021; 0.454589
  79; 0; 125; 1.13288; 1.14093; 0.417564; 0.465306; 0.580919; 0.826193
  80; 0; 127; 1.28764; 0.976956; 0.11151; 0.0384936; 0.0565762; 0.967833
  81; 0; 129; 1.05553; 0.584707; 0.11151; 0.951429; 0.980379; 0.522637
  82; 0; 130; 0.642728; 0.513376; 0.561956; 0.416582; 0.345039; 0.715754
  83; 0; 131; 0.987666; 0.795537; 0.345638; 0.957803; -0.0536627; -0.228873
  84; 0; 134; 1.22036; 1.08916; 0.273996; -0.321115; -0.277341; 1.16475
  85; 0; 136; 1.02951; 0.540743; 0.11151; 0.510399; 0.4778; 0.697213
  86; 0; 138; 0.754764; 0.0764561; 0.11151; 0.337771; 0.703947; 1.0697
  87; 0; 139; 0.386867; -0.285423; 0.298395; 0.46053; 0.462082; 0.746523
  88; 0; 140; 1.52684; 1.44804; 0.159606; 0.597378; 0.167388; 0.368217
  89; 0; 141; 0.794872; 0.650707; 0.475805; 0.977124; 0.522382; 0.161978
  90; 0; 143; 0.991629; 1.22451; 0.649376; 0.404484; 0.116501; 0.566077
  91; 0; 145; -0.00164724; 0.186409; 1.11001; 0.64421; 0.468775; 0.528074
  92; 0; 149; 1.14365; 0.733624; 0.11151; 0.463763; 0.539457; 0.798246
  93; 0; 150; 0.632889; 0.372759; 0.472772; 0.398145; 0.313881; 0.715754
  94; 0; 152; 1.071; 0.768897; 0.225183; 0.813423; 1.01565; 0.715754
  95; 0; 154; 0.984673; 0.675677; 0.263064; 0.465811; 0.245244; 0.584136
  96; 0; 157; 1.08979; 0.642615; 0.11151; 1.09122; 0.652166; 0.116647
  97; 0; 161; 0.87112; 0.273082; 0.11151; 0.40589; 0.280703; 0.682475
  98; 0; 165; 0.53583; 0.340874; 0.567814; 0.678043; 0.544575; 0.541473
  99; 0; 166; 0.797945; 0.778779; 0.56419; 0.785537; 0.833278; 0.618472
  100; 0; 167; 1.14809; 1.16221; 0.414383; 0.608241; 1.28236; 1.15699
  101; 0; 168; 0.681459; -0.190941; 0.00828018; 0.472951; 0.442147; 0.717086
  102; 0; 172; 1.10589; 0.569003; 0.0390018; 0.510196; -0.159604; 0.238988
  103; 0; 176; 1.17752; 1.11451; 0.344309; 0.164717; 0.261019; 0.96146
  104; 0; 177; 0.809705; 0.169299; 0.11151; 0.594046; 0.224277; 0.413187
  105; 0; 178; 0.982115; 1.23014; 0.66499; 0.267862; 0.0543739; 0.687453
  106; 0; 180; 0.736098; 0.884981; 0.715754; 0.516224; 0.215411; 0.501402
  107; 0; 182; 1.02988; 0.541361; 0.11151; 0.256836; 0.21798; 0.818534
  108; 0; 184; 0.794117; 0.82692; 0.60347; 1.30711; 1.16139; 0.220502
  109; 0; 186; 0.961327; 1.02047; 0.539443; 0.660847; 0.757817; 0.715754
  110; 0; 187; 0.915588; 0.808723; 0.442733; 0.796389; 0.986865; 0.715754
  111; 0; 188; 1.15168; 1.1298; 0.386716; 0.412561; 0.428161; 0.78043
  112; 0; 190; 1.13113; 0.851416; 0.211454; 0.841642; 1.06334; 0.715754
  113; 0; 191; 1.09384; 1.07798; 0.419739; 1.39454; 1.00417; 0.00115042
  114; 0; 192; 0.867789; 0.267454; 0.11151; 0.944813; 1.23769; 0.715754
  115; 0; 194; 1.02649; 0.535636; 0.11151; 0.30446; 0.663535; 1.08112
  116; 0; 195; -0.0743105; -0.262856; 0.875185; 0.740152; 0.321095; 0.305235
  117; 0; 197; 0.638948; 0.72081; 0.715754; 0.422647; -0.134015; 0.36381
  118; 0; 198; 0.786312; 0.129768; 0.11151; 0.554477; 0.226146; 0.462626
  119; 0; 199; 1.06373; 0.649954; 0.148473; 0.664908; -0.370619; -0.100841
  120; 1; 3; 1.0861; -0.00652755; -0.509276; 0.851807; 0.774633; 0.953171
  121; 1; 4; 0.980026; 0.444159; 0.532032; 0.823674; 0.769633; 0.742644
  122; 1; 7; 0.550182; 0.952206; -0.400461; 1.05137; 0.102856; -0.317561
  123; 1; 8; 0.482826; 1.06058; -0.434172; 1.39543; -0.350178; 0.247592
  124; 1; 9; 1.24837; -0.288398; -0.509276; 0.617384; 1.10431; 0.650237
  125; 1; 10; 0.826928; 0.619328; 0.177303; 0.944288; 0.451977; 0.319968
  126; 1; 11; 1.28347; -0.113861; 0.411133; 0.852424; 0.768866; 0.934825
  127; 1; 12; 1.00347; 0.289827; 0.0879805; 0.936495; 0.537252; 0.60035
  128; 1; 14; 1.23084; 0.02597; 0.60035; 1.05102; 0.372651; 0.734503
  129; 1; 17; 0.861557; 0.383504; -0.509276; 1.11149; 0.238716; 0.621575
  130; 1; 18; 1.26369; -0.315008; -0.509276; 0.682675; 0.97814; 0.60035
  131; 1; 19; 0.924178; 0.27473; -0.509276; 1.04414; 0.466751; 1.05555
  132; 1; 20; 0.59133; 1.12304; 0.546565; 1.07966; 0.409709; 1.07376
  133; 1; 22; 0.994672; 0.152283; -0.509276; 0.810027; 0.756929; 0.60035
  134; 1; 23; 0.676194; 0.850551; 0.0577015; 1.40028; -0.347384; 0.291456
  135; 1; 24; 0.852978; 0.398405; -0.509276; 0.571986; 1.12831; 0.435833
  136; 1; 25; 0.728603; 0.614446; -0.509276; 0.742452; 0.922671; 0.789368
  137; 1; 26; 1.06514; 0.184178; 0.0937857; 0.640313; 1.09564; 0.772005
  138; 1; 28; 1.17107; -0.00272675; 0.0824505; 1.18792; 0.00999607; 0.246548
  139; 1; 30; 0.816183; 0.625762; 0.129505; 0.913825; 0.576631; 0.60035
  140; 1; 32; 0.588245; 0.858248; -0.509276; 0.625933; 1.14185; 0.854984
  141; 1; 36; 0.805053; 0.765568; 0.60035; 1.33936; -0.382456; -0.259185
  142; 1; 40; 0.560376; 1.10522; 0.266783; 1.42282; -0.334408; 0.495183
  143; 1; 42; 0.584142; 1.11891; 0.481591; 0.687317; 0.970076; 0.60035
  144; 1; 44; 0.660404; 0.900407; 0.145357; 0.564829; 1.10779; 0.307034
  145; 1; 47; 0.33434; 1.33332; -0.376251; 1.23704; 0.0152021; 0.60035
  146; 1; 48; 1.06489; 0.276469; 0.452778; 0.903136; 0.612425; 0.667675
  147; 1; 51; 0.495017; 1.0676; -0.323984; 1.43368; -0.328157; 0.593324
  148; 1; 52; 0.696124; 0.868598; 0.263534; 1.06313; 0.252207; 0.346008
  149; 1; 55; 0.859306; 0.387414; -0.509276; 0.763565; 0.970456; 1.11946
  150; 1; 56; 0.530416; 1.08798; -0.00402049; 0.755521; 0.851605; 0.60035
  151; 1; 58; 1.0998; 0.182925; 0.32417; 0.925531; 0.583025; 0.704807
  152; 1; 60; 0.974758; 0.285295; -0.124615; 1.20348; 0.0218657; 0.398574
  153; 1; 61; 0.980057; 0.461585; 0.60035; 0.407076; 1.52326; 0.859853
  154; 1; 62; 0.613364; 0.960552; 0.0610862; 0.669599; 1.00085; 0.60035
  155; 1; 63; 0.770656; 0.5414; -0.509276; 0.787045; 0.80871; 0.646706
  156; 1; 64; 1.11234; -0.0521029; -0.509276; 1.09831; 0.271883; 0.661695
  157; 1; 65; 1.37967; -0.300525; 0.334635; 0.689916; 1.04375; 0.905917
  158; 1; 66; 0.930678; 0.471561; 0.304119; 0.802226; 0.66158; 0.174743
